id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_C360757,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C364519,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C364734,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367133,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367200,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367201,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367227,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367228,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367288,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367289,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367301,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367458,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367504,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367511,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367533,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367641,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367692,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367730,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367731,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367732,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367733,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367734,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367753,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367754,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367811,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367822,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367828,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367833,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367844,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367933,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
