id,name,parent_id/id
product.category_Bijoux,Bijoux,
product.category_Affaires,Affaires,
product.category_Voyage,Voyage,
product.category_Caddies,Caddies,
product.category_Manucure,Manucure,
product.category_Garniturebureau,Garniture bureau,
product.category_Shopping,Shopping,
product.category_897,897,product.category_Affaires
product.category_898,898,product.category_Affaires
product.category_899,899,product.category_Affaires
product.category_900,900,product.category_Affaires
product.category_901,901,product.category_Affaires
product.category_902,902,product.category_Affaires
product.category_903,903,product.category_Affaires
product.category_904,904,product.category_Affaires
product.category_905,905,product.category_Affaires
product.category_906,906,product.category_Affaires
product.category_907,907,product.category_Affaires
product.category_908,908,product.category_Affaires
product.category_909,909,product.category_Affaires
product.category_910,910,product.category_Affaires
product.category_146324,146324,product.category_146
product.category_253032,253032,product.category_253
product.category_253033,253033,product.category_253
product.category_253113,253113,product.category_253
product.category_253344,253344,product.category_253
product.category_253347,253347,product.category_253
product.category_253430,253430,product.category_253
product.category_253432,253432,product.category_253
product.category_253446,253446,product.category_253
product.category_253700,253700,product.category_253
product.category_255001,255001,product.category_255
product.category_255240,255240,product.category_255
product.category_255999,255999,product.category_255
product.category_259090,259090,product.category_282
product.category_259101,259101,product.category_259
product.category_259102,259102,product.category_259
product.category_259305,259305,product.category_259
product.category_259344,259344,product.category_259
product.category_259430,259430,product.category_259
product.category_259446,259446,product.category_259
product.category_259910,259910,product.category_259
product.category_260220,260220,product.category_260
product.category_260230,260230,product.category_260
product.category_260250,260250,product.category_260
product.category_260270,260270,product.category_260
product.category_261008,261008,product.category_261
product.category_261032,261032,product.category_261
product.category_261033,261033,product.category_261
product.category_261060,261060,product.category_261
product.category_261113,261113,product.category_261
product.category_261114,261114,product.category_261
product.category_261118,261118,product.category_261
product.category_261154,261154,product.category_261
product.category_261295,261295,product.category_261
product.category_261336,261336,product.category_261
product.category_261342,261342,product.category_261
product.category_261343,261343,product.category_261
product.category_261344,261344,product.category_261
product.category_261347,261347,product.category_261
product.category_261700,261700,product.category_261
product.category_261853,261853,product.category_261
product.category_262325,262325,product.category_262
product.category_267020,267020,product.category_267
product.category_267030,267030,product.category_267
product.category_267040,267040,product.category_267
product.category_267050,267050,product.category_267
product.category_267060,267060,product.category_267
product.category_267064,267064,product.category_267
product.category_267070,267070,product.category_267
product.category_267090,267090,product.category_267
product.category_267100A,267100A,product.category_267
product.category_267101,267101,product.category_267
product.category_267102,267102,product.category_267
product.category_267103,267103,product.category_267
product.category_267104,267104,product.category_267
product.category_267120A,267120A,product.category_267
product.category_267121,267121,product.category_267
product.category_267122,267122,product.category_267
product.category_267123,267123,product.category_267
