id,name,city,bic,country
res.bank_BDCHBE22613,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),GENT,BDCHBE22613,BE
res.bank_BDCHBE22612,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),LIEGE,BDCHBE22612,BE
res.bank_DXAMBEBB,DEXIA ASSET MANAGEMENT BELGIQUE SA,BRUSSELS,DXAMBEBB,BE
res.bank_EPBFBEBB,EPBF,WATERMAEL BOITSFORT,EPBFBEBB,BE
res.bank_ETEXBEBB,ETEX S.A.,BRUSSELS,ETEXBEBB,BE
res.bank_ETHDBE44,ETHIAS DROIT COMMUN ASSOCIATION DASS.ÊMUTUELLES,LIEGE,ETHDBE44,BE
res.bank_ETHVBE44,ETHIAS VIE ASSOCIATION DASSURANCESÊMUTUELLES,LIEGE,ETHVBE44,BE
res.bank_MGTCBEBEE16,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEE16,BE
res.bank_MGTCBEBEEB2,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEB2,BE
res.bank_MGTCBEBEEBE,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEBE,BE
res.bank_MGTCBEBEEF2,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEF2,BE
res.bank_MGTCBEBEEFR,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEFR,BE
res.bank_MGTCBEBEEN2,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEN2,BE
res.bank_MGTCBEBEENL,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEENL,BE
res.bank_MGTCBEBEE01,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEE01,BE
res.bank_MGTCBEBEFND,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEFND,BE
res.bank_MGTCBEBE,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBE,BE
res.bank_MGTCBEBECLT,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBECLT,BE
res.bank_MGTCBEBEE14,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEE14,BE
res.bank_MGTCBEBEECL,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEECL,BE
res.bank_CIKBBEBBDIF,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBDIF,BE
res.bank_CIKBBEBBEA1,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBEA1,BE
res.bank_CIKBBEBBEA2,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBEA2,BE
res.bank_CIKBBEBBEA3,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBEA3,BE
res.bank_CIKBBEBBCLR,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBCLR,BE
res.bank_CIKBBEBB,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBB,BE
res.bank_EURBBE99,EUROPABANK N.V.,GENT,EURBBE99,BE
res.bank_FVLBBE22,F. VAN LANSCHOT BANKIERS BELGIE N.V.,ANTWERPEN,FVLBBE22,BE
res.bank_FRCSBEBB,FINANCIERE REMY COINTREAU SA/NV,BRUSSELS,FRCSBEBB,BE
res.bank_GEBABEBB00A,FORTIS BANQUE S.A./N.V. (FORMERLY GENERALE DE BANQUE S.A. BRUSSELS),BRUSSELS,GEBABEBB00A,BE
res.bank_HABBBEBB,HABIB BANK LTD.,BRUSSELS,HABBBEBB,BE
res.bank_HSBCBEBBSDD,HSBC BANK PLC,BRUSSELS,HSBCBEBBSDD,BE
res.bank_HSBCBEBB,HSBC BANK PLC,BRUSSELS,HSBCBEBB,BE
res.bank_ICBKBEBB,ICBC BRUSSELS BRANCH,BRUSSELS,ICBKBEBB,BE
res.bank_ICICBE2X,ICICI BANK UK PLC,ANTWERPEN,ICICBE2X,BE
res.bank_BBRUBEBB930,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) AALST,AALST,BBRUBEBB930,BE
res.bank_BBRUBEBB200,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) ANTWERPEN,ANTWERPEN,BBRUBEBB200,BE
res.bank_BBRUBEBB800,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUGGE,BRUGGE,BBRUBEBB800,BE
res.bank_BBRUBEBB,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUSSELS,BRUSSELS,BBRUBEBB,BE
res.bank_BBRUBEBB100,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUSSELS,BRUSSELS,BBRUBEBB100,BE
res.bank_BBRUBEBBCLS,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUSSELS,BRUSSELS,BBRUBEBBCLS,BE
res.bank_BBRUBEBB010,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUSSELS,BRUSSELS,BBRUBEBB010,BE
res.bank_BBRUBEBBVYS,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) BRUSSELS,BRUSSELS,BBRUBEBBVYS,BE
res.bank_BBRUBEBB600,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) CHARLEROI,CHARLEROI,BBRUBEBB600,BE
res.bank_BBRUBEBB900,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) GENT,GENT,BBRUBEBB900,BE
res.bank_BBRUBEBB350,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) HASSELT,HASSELT,BBRUBEBB350,BE
res.bank_BBRUBEBB850,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) KORTRIJK,KORTRIJK,BBRUBEBB850,BE
res.bank_BBRUBEBB300,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) LEUVEN,LEUVEN,BBRUBEBB300,BE
res.bank_BBRUBEBB400,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) LIEGE,LIEGE,BBRUBEBB400,BE
res.bank_BBRUBEBB700,ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA) MONS,MONS,BBRUBEBB700,BE
res.bank_INGRBEBB,INGRAM MICRO COORDINATION CENTER BVBA,VILVOORDE,INGRBEBB,BE
res.bank_JOJOBE22,JC GENERAL SERVICES CVBA,BEERSE,JOJOBE22,BE
res.bank_JOCIBEBB,JOHNSON CONTROLS INTERNATIONAL NV,DIEGEM,JOCIBEBB,BE
res.bank_JPMGBEBBMOM,JP MORGAN INTERNATIONAL BANK,BRUSSELS,JPMGBEBBMOM,BE
res.bank_JPMGBEBB,JP MORGAN INTERNATIONAL BANK,BRUSSELS,JPMGBEBB,BE
res.bank_CHASBEBXENQ,JPMORGANÊCHASEÊBANK N.A.,BRUSSELS,CHASBEBXENQ,BE
res.bank_CHASBEBXKEY,JPMORGANÊCHASEÊBANK N.A.,BRUSSELS,CHASBEBXKEY,BE
res.bank_CHASBEBX,JPMORGANÊCHASEÊBANK N.A.,BRUSSELS,CHASBEBX,BE
res.bank_KBCABEBB,KBC ASSET MANAGEMENT,BRUSSELS,KBCABEBB,BE
res.bank_KREDBEBB250,KBC BANK NV,AALST,KREDBEBB250,BE
res.bank_KREDBEBB022,KBC BANK NV,ANTWERPEN,KREDBEBB022,BE
res.bank_KREDBEBBCLS,KBC BANK NV,BRUSSELS,KREDBEBBCLS,BE
res.bank_KREDBEBBLCH,KBC BANK NV,BRUSSELS,KREDBEBBLCH,BE
res.bank_KREDBEBB,KBC BANK NV,BRUSSELS,KREDBEBB,BE
res.bank_KREDBEBB100,KBC BANK NV,BRUSSELS,KREDBEBB100,BE
res.bank_KREDBEBB387,KBC BANK NV,BRUSSELS,KREDBEBB387,BE
